<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>,is_bullish_marubozu,is_bearish_marubozu,is_morning_star,is_evening_star,is_bullish_engulfing,is_bearish_engulfing,is_hammer,is_hanging_man,is_piercing,is_dark_cloud
2006.01.02,1.1849,1.1869,1.1801,1.1821,5870,0.0,20,,,,,,,,,,
2006.01.03,1.1822,1.2033,1.181,1.2015,9455,0.0,20,,,,,,,,,,
2006.01.04,1.2014,1.2146,1.2012,1.2108,10123,0.0,20,,,,,,,,,,
2006.01.05,1.2107,1.2123,1.2065,1.2097,9584,0.0,20,,,,,,,,,,
2006.01.06,1.2101,1.2182,1.2078,1.2143,9219,0.0,20,,,,,,,,,,
2006.01.09,1.2143,1.2155,1.2051,1.2081,9512,0.0,20,,,,,,,,,,
2006.01.10,1.208,1.2112,1.2036,1.2061,9977,0.0,20,,,,,,,,,,
2006.01.11,1.2061,1.2146,1.2043,1.2141,9534,0.0,20,,,,,,,,,,
2006.01.12,1.2139,1.2165,1.2007,1.2033,9787,0.0,20,,,,,,,,,,
2006.01.13,1.2032,1.215,1.2028,1.2115,9358,0.0,20,,,,,,,,,,
2006.01.16,1.2153,1.2176,1.2104,1.2116,8758,0.0,20,,,,,,,,,,
2006.01.17,1.2115,1.2145,1.205,1.2117,9573,0.0,20,False,False,,,False,False,False,False,False,False
2006.01.18,1.2114,1.2161,1.2069,1.2119,9745,0.0,20,False,False,,,False,False,False,False,False,False
2006.01.19,1.2116,1.2127,1.2053,1.2091,9413,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.01.20,1.2091,1.2143,1.204,1.2136,9066,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.01.23,1.2143,1.2314,1.2141,1.2297,10429,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.01.24,1.2296,1.2323,1.2256,1.2269,9694,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.01.25,1.227,1.2324,1.2234,1.2242,10122,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.01.26,1.2243,1.2273,1.2198,1.2202,9953,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.01.27,1.2206,1.2238,1.2086,1.2097,9711,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.01.30,1.2104,1.2116,1.2063,1.2094,8999,0.0,20,False,False,False,False,False,False,False,True,False,False
2006.01.31,1.209,1.2191,1.2078,1.2148,9516,0.0,20,False,False,False,False,True,False,False,False,False,False
2006.02.01,1.2141,1.2167,1.2047,1.2059,9176,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.02.02,1.2057,1.2109,1.2031,1.2088,9380,0.0,20,False,False,False,False,False,False,False,False,False,False
2006.02.03,1.2088,1.2113,1.1967,1.2025,9111,0.0,20,False,False,False,False,False,False,False,False,False,False
